"id","url","created_by","created_at","terms","term_count","answered","answered_by","answer_terms","answer_term_count","posters","poster_count","posts_count","views","like_count"
"12999","https://forum.knime.com/t/knime-3-7-java-snippet-throws-out-of-range-exception-when-using-getcolumnname/12999","arofab","2018-12-21T11:05","java, snippet, throw, out, rang, except, getcolumnnam, issu, method, alway, input, tabl, column, same, give, error, work, flawless, attach, sampl, reproduc, advanc, fabrizio",23,"yes","marc-bux","bring, up, yup, definit, bug, also, brought, exampl, execut, proper, alreadi, implement, fix, part, releas, marc",16,"arofab, marc-bux",2,2,39,2
"12994","https://forum.knime.com/t/no-license-for-pmml-compiliation-i-o-found-when-using-compiled-model-to-jar-writer-node/12994","ya92","2018-12-20T20:58","licens, pmml, compili, found, compil, model, jar, writer, write, file, read, follow, error, come, up, execut, fail, solv, advanc",19,"no",,,0,"ya92, Iris",2,2,29,0
"12986","https://forum.knime.com/t/connecting-to-netezza-fails-with-timeout/12986","hegranhox","2018-12-20T12:43","connect, netezza, fail, timeout, time, out, reach, box, increas, solv, jdbc, squirrel, sql, work, connector, requir, java, higher, databas, type, set, base, url, see, full, log, much, find, debug, worker, nodecontain, state, execut, workflowdatarepositori, ad, handler, ac, bd, total, localnodeexecutionjob, start, nodecontext, user, found, hissa, registereddriversconnectionfactori, lock, key, obtain, connectionkey, creat, databasedriverload, driver, retriev, defin, driverdriv, info, class, name, major, version, minor, compliant, fals, pool, thread, open, ag, fi, mydata, reset, error, sqlexcept, io, jdbcconnectornodemodel, core, nodemodel, executemodel, invokefullynodemodelexecut, nativenodecontain, performexecutenod, exec, mainexecut, nodeexecutionjob, internalrun, run, util, threadutil, runnablewithcontextimpl, runwithcontext, runnablewithcontext, concurr, executor, runnableadapt, call, futuretask, futuretaskt, threadpool, myfutur, caus, ioexcept, port, databaseconnectionset, more, cachedconnectionfactori, getconnect, createconnect, workflowmanag, dobeforepostexecut, postexecut, doafterexecut, failur, clean, output, remov, remain, idl, configur, succeed, wfm, parent, notifi, root",123,"no",,,0,"hegranhox",1,1,15,0
"12985","https://forum.knime.com/t/resume-ranking/12985","PrasannaQ","2018-12-20T11:11","resum, rank, around, store, folder, match, job, descript, skillet, sort, base, relev, respect, jd, work, exampl, avail, knmie, anot, one, suggest, right, approach, prasanna",24,"no",,,0,"PrasannaQ",1,1,18,0
"12983","https://forum.knime.com/t/merge-more-than-just-2-column/12983","Hendraaj","2018-12-20T09:15","merg, more, column, becom, imag, alreadi, merger, result, rest",9,"yes","Aswin","oh, first, split, tabl, column, splitter, renam, concaten",8,"Aswin, mlauber71, Hendraaj",3,7,21,1
"12980","https://forum.knime.com/t/compare-data-on-two-rows/12980","gwhall6","2018-12-20T03:26","compar, data, two, row, short, video, explain, explan, analysi, quick, nurs, respond, call, light, button, patient, attach, room, number, date, press, time, push, turn, off, sometim, again, within, few, minut, find, case, where, same, next, sampl, file, repeat, xlsx",39,"no",,,0,"Aswin, gwhall6, mlauber71",3,5,46,7
"12979","https://forum.knime.com/t/uploading-csv-via-ssh-connection/12979","njaehner","2018-12-20T02:17","upload, csv, via, ssh, connect, pars, xls, specif, format, write, out, writer, local, file, last, step, process, take, csvs, manual, sftp, server, autom, part, success, creat, ad, function, howev, quit, figur, advic, appreci",33,"no",,,0,"SimonS, oole, njaehner",3,3,16,1
"12977","https://forum.knime.com/t/calculating-difference-in-values-between-groupby-rows/12977","cason","2018-12-19T21:29","calcul, differ, valu, between, groupbi, row, follow, output, right, each, descend, order, id",13,"yes","SimonS","take, lag, column, creat, shift, math, formula, afterward, subtract, simon",10,"Aswin, SimonS, system, cason",4,4,28,3
"12976","https://forum.knime.com/t/using-silhouhette-in-knime/12976","Enigma2018","2018-12-19T19:57","silhouhett, extens, github, aborg, mind, era, silhouett, implement, contribut, develop, creat, account, instal, advanc",14,"no",,,0,"SimonS, aborg, Enigma2018",3,17,80,9
"12975","https://forum.knime.com/t/pivoting-data-from-repeating-group-columns-to-single-column-group/12975","milly","2018-12-19T18:16","pivot, data, repeat, group, column, singl, one, issu, survey, produc, lot, hold, same, type, columnnam, respons, name, idcod, put, much, appreci, milli",22,"no",,,0,"milly, Aswin, izaychik63",3,4,17,0
"12973","https://forum.knime.com/t/how-to-determine-the-optimal-number-of-clusters/12973","armingrudd","2018-12-19T15:36","determin, optim, number, cluster, last, topic, method, option, choos, most, known, elbow, silhouett, gap, specifi, armin",16,"no",,,0,"SimonS, Geo, izaychik63, armingrudd, mlauber71",5,11,57,7
"12972","https://forum.knime.com/t/predicting-customer-lifetime-value-i-have-the-approach-but-not-the-knime-node-experience/12972","cason","2018-12-19T15:18","predict, custom, lifetim, valu, approach, experi, fair, quit, extens, analysi, case, data, model, put, togeth, plan, svm, regress, mode, suitabl, method, instead, output, should, spend, each, point, stop, purchas, desir, input, id, uniqu, recenc, score, set, span, over, month, given, base, their, latest, frequenc, numer, number, order, place, last, twelv, total, sum, per, first, quarter, past, year, second, third, prep, groupbi, date, return, format, exampl, transform, transact, level, customerid, orderno, calcul, insert, abov, mention, column, find, specif, found, more, generic, learner, predictor, work, purpos, partit, befor, configur, evalu, result, correl, coeffici, root, relat, squar, error, perspect, sampl, realli, appreci, advanc",100,"no",,,0,"cason",1,1,19,0
"12971","https://forum.knime.com/t/get-request-and-httpretriever-page-error-help/12971","umutcankurt","2018-12-19T14:50","request, page, error, understand, follow",5,"no",,,0,"qqilihq, umutcankurt, Marten_Pfannenschmidt",3,7,35,1
"12970","https://forum.knime.com/t/regex-help-needed-extract-parameters-from-urls/12970","Phishman81","2018-12-19T14:31","regex, extract, paramet, url, fight, through, though, becaus, dirv, crazi, where, mistak, mio, csv, upload, filter, out, contain, identifi, check, should, work, rubi, rule, base, row, match, fals, true, includ, howev, find, thousand, wrong",34,"no",,,0,"Aswin, mlauber71, Phishman81",3,3,23,1
"12969","https://forum.knime.com/t/looping-with-errors/12969","henryhcraig","2018-12-19T13:47","loop, error, struggl, feel, should, simpl, find, guidanc, web, scraper, selenium, over, differ, page, dump, result, tabl, writer, after, howev, save, data, collect, befor, ie, write, everi, row, intermedi, work, out, stop",32,"no",,,0,"oole, henryhcraig",2,2,24,2
"12968","https://forum.knime.com/t/current-sample-request-httpretriever-use-on-cookie-required-websites/12968","umutcankurt","2018-12-19T13:12","current, sampl, request, cooki, requir, websit, after, main, link, page, html, data, appear, retriev, sub, url, exampl, solv",18,"no",,,0,"qqilihq, umutcankurt, Marten_Pfannenschmidt",3,11,45,2
"12963","https://forum.knime.com/t/colouring-and-formatting-an-excel-table/12963","Earl983nfn","2018-12-19T09:45","colour, format, excel, tabl, anyway, export, color, manag, view, advic",10,"no",,,0,"SimonS, Earl983nfn, mmedzihradszky, mlauber71",4,8,44,2
"12960","https://forum.knime.com/t/workflow-freeze/12960","tulipliu","2018-12-19T05:29","freez, experienc, frequent, basi, upgrad, occur, whenev, run, loop, happen, time, end, task, manag, restart, includ, part, error, log, below, session, eclips, buildid, unknown, java, version, vendor, oracl, corpor, bootload, constant, os, win, arch, ws, nl, en, command, line, argument, continu, file, user, samadmin, workspac, metadata, bak, creat, entri, ui, messag, unhandl, event, except, stack, swt, swterror, more, handl, widget, control, intern, gc, graphic, composit, wm, paint, windowproc, display, dispatchmessagew, nativ, method, dispatchmessag, readanddispatch, workbench, partrenderingengin, core, databind, observ, realm, runwithdefault, createandrunui, lambda, createandrunworkbench, platformui, product, rcp, knimeappl, start, equinox, app, eclipseapphandl, runtim, adaptor, eclipseapplaunch, runappl, eclipsestart, sun, reflect, nativemethodaccessorimpl, invok, delegatingmethodaccessorimpl, lang, launcher, main, invokeframework, basicrun, swtexcept, fail, execut, runnabl, synchron, runasyncmessag, caus, imag, getimagedataatcurrentzoom, editor, figur, nodecontainerfigur, makeimageghost, setloopstatus, setstatefromnc, editpart, nodecontainereditpart, runnablelock, draw, bufferedgraphicssourc, getgraph, deferredupdatemanag, repairdamag, performupd, updaterequest, textlayout, computerun, getlinecount, custom, styledtextrender, gettextlayout, styledtext, getpointatoffset, setcaretloc, scrollvert, settopindex, consol, textconsoleview, scrolltoendofdocu, access, runinuithread, progress, uijob, vm, window, servic, appreci",154,"no",,,0,"quaeler, tulipliu",2,2,34,1
"12956","https://forum.knime.com/t/business-analysis-report/12956","Marah35","2018-12-18T22:28","busi, analysi, report, provid, sampl, much, appreci",7,"no",,,0,"Marah35, ScottF",2,2,20,0
"12955","https://forum.knime.com/t/recursive-row-loop-for-sales-forecasting/12955","t2jr0385","2018-12-18T21:29","recurs, row, loop, sale, forecast, process, futur, daili, includ, date, random, generat, creat, thru, five, part, move, averag, exampl, data, take, follow, prior, build, out, quick, attach, start",28,"no",,,0,"t2jr0385, SimonS, ScottF",3,3,33,1
"12954","https://forum.knime.com/t/keras-validation-loss-chart/12954","iiiaaa","2018-12-18T19:55","kera, valid, loss, chart, plot",5,"yes","iiiaaa","solv, notic, possibl, plot, valid, loss, chart, direct, kera, network, learner",11,"MarcelW, iiiaaa",2,5,26,2
"12952","https://forum.knime.com/t/remove-outliers/12952","mkaplan603","2018-12-18T16:30","remov, outlier, post, join, file, togeth, creat, one, larg, awar, statist, befor, connect, set, up, data, top, bottom, given, categori, run, off, middl, ask, becaus, mani, stat, deriv, accur, object, produc, reason, price, procedur, past, payment, wide, rang, current, captur",40,"no",,,0,"mlauber71, mkaplan603",2,2,25,0
"12948","https://forum.knime.com/t/error-cant-write-workflow-because-the-directory-cant-be-locked/12948","11atzitzi","2018-12-18T12:53","error, write, becaus, directori, lock, save, follow, xxxx, solut",9,"no",,,0,"11atzitzi",1,1,16,0
"12947","https://forum.knime.com/t/how-to-compare-2-excels-where-columns-are-not-in-same-order/12947","bheemlan","2018-12-18T09:49","compar, excel, where, column, same, order, requir, issu, name, mean, id, rd, th, data, wise, find, match, verifi, achiev",19,"no",,,0,"armingrudd, bheemlan",2,2,22,0
"12946","https://forum.knime.com/t/row-filter-based-on-reference-table-exact-match/12946","vinayashree","2018-12-18T08:22","row, filter, base, refer, tabl, exact, match, read, data, excel, file, avail, anoth, loop, format, variabl, line, constant, space, form, input, below, each, iter, achiev",25,"no",,,0,"armingrudd, vinayashree",2,5,30,1
"12943","https://forum.knime.com/t/example-workflow-is-not-executing-properly/12943","armingrudd","2018-12-18T00:32","exampl, execut, proper, elbow, method, one, server, found, out, work, befor, without, analyt, type, text, process, topicextract, elbowmethod, stage, messag, sever, time, each, iter, warn, java, snippet, evalu, fail, row, cluster, except, caus, line, indexoutofboundsexcept, index, size, where, grow, gone, wrong, after, recent, updat, copi, reset, again, same, output, armin",50,"yes","marc-bux","implement, fix, issu, part, releas, bring, up, marc",8,"armingrudd, SimonS, marc-bux",3,3,76,6
"12942","https://forum.knime.com/t/help-with-a-workflow/12942","mkaplan603","2018-12-17T23:39","build, off, last, thread, train, platform, issu, current, data, set, million, point, broken, csv, file, load, up, individu, basic, info, out, combin, make, one, big, pull, conclus, far, attach, time, again, column, filter, row, whole, joiner, cannot, work, show, green, relat, advanc, matthgew",43,"no",,,0,"SimonS, izaychik63, mkaplan603",3,11,50,5
"12941","https://forum.knime.com/t/training-using-the-platform/12941","mkaplan603","2018-12-17T23:28","train, platform, abl, find, around, basic, manner, fullest, extent, forgiv, mod, allow, few, hour, task, hand, pay, time, teach, interest, email, mkaplan, matthew",23,"yes","ScottF","offer, self, train, process, updat, place, start, anoth, option, our, onlin, cours, beginn, up, again, januari, teach, time, around, come, jo",21,"mkaplan603, ScottF, system",3,4,26,2
"12939","https://forum.knime.com/t/comparing-strings/12939","Yush","2018-12-17T20:26","compar, string, quit, simpl, solv, without, script, split, up, list, word, make, max, anoth, excel, easili, first, comparison, yield, score, second, instanc, choos, over, one, advis, prefer, non, solut, fluent, languag, imag, mani, yush",34,"yes","Yush","mani, provid, support, especi, through, effort, creat, solut, understand, solv, end, first, input, contain, string, second",16,"ipazin, system, izaychik63, Yush, mlauber71, ScottF",6,10,48,11
"12937","https://forum.knime.com/t/converting-integers-to-booleans/12937","mdbrannock","2018-12-17T18:46","convert, integ, boolean, dataset, contain, variabl, valu, exclus, set, type, file, reader, read, everi, row, fals, includ, simpl, without, dictionari, binari, stratifi, sampl, classif, tree",25,"yes","izaychik63","rule, engin",2,"Aswin, system, mdbrannock, izaychik63",4,5,16,4
"12936","https://forum.knime.com/t/pubmed-data-using-pmid/12936","Lakshmipathy","2018-12-17T18:40","pubm, data, pmid, list, match, work, flow, explain, grassroot, level, lakshmipathi",11,"no",,,0,"Aswin, Lakshmipathy",2,3,16,0
"12934","https://forum.knime.com/t/csv-reader/12934","andre","2018-12-17T16:06","csv, reader, hallo, import, file, follow, error, appear, log, valu, column, index, data, display, correct, preview, merger, work, result, forward, andr",21,"no",,,0,"andre, mlauber71",2,3,31,1
"12932","https://forum.knime.com/t/connecting-to-ssas-analytics-service-olap-cube/12932","kulrari","2018-12-17T15:03","connect, ssas, analyt, servic, olap, cube, find, azur, platform, abl, our, edw, microsoft, sql, server, connector, same, access, data, analysi, anoth, correct, driver, unresolv, feel, more, basic, level, somebodi, mention, hostnam, url, login, detail",34,"no",,,0,"kulrari",1,1,11,0
"12931","https://forum.knime.com/t/using-qlik-qvd-or-qvx-format-files-with-knime/12931","kulrari","2018-12-17T14:59","qlik, qvd, qvx, format, file, possibl, read, write, alteryx, recent, come, up, function, enhanc, usabl, user, prexist, licens, facilit, connect, datasourc",21,"no",,,0,"kulrari",1,1,12,0
"12930","https://forum.knime.com/t/prediction-for-a-new-year/12930","Marah35","2018-12-17T13:19","predict, year, assign, unemploy, rate, base, histor, data, attribut, gdp, number, follow, countri",13,"no",,,0,"mlauber71, Marah35, ScottF",3,7,37,1
"12929","https://forum.knime.com/t/recommendation-in-predictive-analytics-output/12929","archiemendoza","2018-12-17T12:38","recommend, predict, analyt, output, tool, provid, result, exampl, analysi, advis",10,"no",,,0,"archiemendoza, ScottF",2,2,19,1
"12928","https://forum.knime.com/t/highlighting-anomalies/12928","limjix","2018-12-17T11:42","highlight, anomali, platform, love, stuck, basic, plot, scatter, alreadi, colour, manag, circl, point, marker, repres, becaus, clear, chang, increas, size, extra, overwrit, previous",23,"no",,,0,"limjix",1,1,20,0
"12923","https://forum.knime.com/t/adding-a-column-with-fixed-string/12923","Earl983nfn","2018-12-17T06:52","ad, column, fix, string, simpl, cannot, figur, out, simpli, add, tabl, renam, valu, certain, power, bi, gap, analysi, creat, below, categori, type, bike, last, week, visualis, requir, data, abov, format, moment, far, featur, quit, hard, easi",36,"no",,,0,"ipazin, Earl983nfn",2,3,15,1
"12919","https://forum.knime.com/t/is-there-an-option-to-add-a-file-dialog/12919","kopfkino","2018-12-16T22:08","option, add, file, dialog, plan, alreadi, avail, interact, choos, reader, shown, run",12,"no",,,0,"Marten_Pfannenschmidt, kopfkino",2,7,30,0
"12918","https://forum.knime.com/t/read-column-and-enter-info-in-second-column/12918","andre","2018-12-16T00:45","read, column, enter, info, second, user, work, relat, where, cell, content, whether, valu, line, andr",15,"no",,,0,"andre, izaychik63",2,7,44,2
"12911","https://forum.knime.com/t/counting-of-repeat-incidents-that-has-happened-once-before/12911","stripathi","2018-12-14T23:54","count, repeat, incid, happen, onc, befor, suggest, same, sever, time, date, column, inc, id, occur, locat, root, caus, check, over, striapthi",21,"no",,,0,"stripathi, ScottF",2,2,17,0
"12910","https://forum.knime.com/t/why-does-the-xpath-node-get-incorrect-data-in-the-indian-language/12910","umutcankurt","2018-12-14T22:36","xpath, incorrect, data, indian, languag, make, solut, imag",8,"no",,,0,"umutcankurt, mlauber71",2,7,40,4
"12909","https://forum.knime.com/t/knime-3-7-db-labs-loading-errors-losing-settings-content-of-3-6-1-workflow-db-nodes/12909","Erich_Gstrein","2018-12-14T18:46","db, lab, load, error, lose, set, content, knimler, upgrad, encount, serious, connect, queri, reader, openen, wf, work, bring, dure, messag, detail, connector, model, fail, config, key, extern, map, found, unabl, port, knimetoextern, intern, session, cb, cd, cef, invalid, ora, usernam, password, logon, deni, state, chang, execut, configur, fast, block, idl, result, lost, type, oracl, scratch, default, provid, chanc, back",59,"no",,,0,"ipazin, tobias.koetter, Erich_Gstrein",3,5,57,1
"12908","https://forum.knime.com/t/generate-table-1-row-at-a-time-inside-loop/12908","bassman","2018-12-14T18:26","generat, tabl, row, time, insid, loop, conceptu, understand, process, individu, rather, appear, default, treat, set, draft, faulti, below, creat, singl, creator, shift, date, column, add, empti, initi, step, rule, engin, run, updat, first, logic, off, follow, abov, build, onc, figur, out, misunderstand, switch, last, iter, warn, insert, end, begin, prefer, access, vba, sql, server, fulli, data, thread, over, captur",59,"no",,,0,"Aswin, izaychik63, bassman, ScottF",4,11,56,4
"12906","https://forum.knime.com/t/to-move-the-column-up-specified-id-range/12906","umutcankurt","2018-12-14T17:21","move, column, up, specifi, id, rang, upward, accord, row, such, cut, past, match, data",14,"no",,,0,"umutcankurt, ScottF, izaychik63",3,8,30,5
"12904","https://forum.knime.com/t/cant-add-vernalis-nodes-to-new-knime-install/12904","zambernardi","2018-12-14T13:59","add, vernali, instal, comput, extens, found, cheminformat, more, specif, load, contain, miss, subsequ, attempt, fail, site, old, version, after, ad, older, updat, abl, newer, work, normal",26,"no",,,0,"daria.goldmann, thor, zambernardi, Vernalis",4,6,68,1
"12902","https://forum.knime.com/t/knime-mac-teradata-jdbc-database-connection/12902","cifer1448","2018-12-14T04:43","mac, teradata, jdbc, databas, connect, keep, run, same, error, through, connector, execut, fail, creat, xxx, nodenam, nor, servnam, provid, known, appear, window, suggest",23,"no",,,0,"cifer1448, armingrudd",2,3,37,0
"12901","https://forum.knime.com/t/division-calculations-where-divisor-is-based-on-row-characteristic/12901","g_oliv","2018-12-14T00:41","divis, calcul, where, divisor, base, row, characterist, while, complic, list, sale, given, product, categori, total, contain, brand, segment, sell, specif, both, valu, differ, type, store, includ, region, illustr, imagin, talk, alcohol, beverag, beer, whiskey, same, previous, data, big, small, also, split, final, avail, countri, first, creat, multipl, column, basic, import, instanc, stori, compar, our, appli, within, goe, attach, excel, file, mock, up, exampl, second, replic, although, line, name, obvious, chang, build, run, quit, proceed, guil, xlsx",76,"no",,,0,"SimonS, g_oliv",2,2,37,0
"12900","https://forum.knime.com/t/mariadb-jdbc/12900","gsakai","2018-12-13T22:48","mariadb, jdbc, simpl, extract, data, api, insert, databas, mysql, take, long, time, correct, case, fast, receiv, error, incorrect, string, valu, xcc, xa, common, solut, involv, chang, characterencod, collat, set, url, gabriel, sakai",32,"no",,,0,"gsakai, izaychik63",2,2,32,0
"12899","https://forum.knime.com/t/column-naming-bug-with-cell-splitter-by-position-node/12899","TWilkin","2018-12-13T19:31","column, name, bug, cell, splitter, posit, one, end, user, report, follow, abl, reproduc, issu, input, tabl, format, header, row, valu, ab, configur, split, indic, comma, separ, produc, error, specifi, alreadi, exist, select, index, output, obvious, renam, resolv, clear, check, tom",40,"no",,,0,"SimonS, TWilkin",2,2,42,1
"12897","https://forum.knime.com/t/write-data-to-excel-sheet-on-row-10/12897","RonG","2018-12-13T18:52","write, data, excel, sheet, row, possibl, file, xlsx, start, specif, cell, address, found, writer, xls, append",16,"no",,,0,"RonG, izaychik63, mlauber71",3,9,57,0
"12896","https://forum.knime.com/t/transformation-problem/12896","Jacko","2018-12-13T18:37","transform, tricki, relat, data, pictur, see, origin, should, after, run, everi, explan, same, time, row, creat, specif, one, column, ad, each, option, solv, hin, solut, exampl, xlsx",27,"no",,,0,"Jacko, mlauber71, izaychik63",3,5,46,5
"12893","https://forum.knime.com/t/loop-through-rows-in-table-im-confused/12893","bassman","2018-12-13T16:56","loop, through, row, tabl, confus, simpl, programm, earli, troubl, concept, behind, process, exampl, sql, singl, select, statement, whole, group, same, time, server, microsoft, vba, access, one, conceptu, examin, each, individu, updat, save, name, valu, result, note, format, abov, letter, should, column, number, blank, creat, function, artifici, grizzl, old, java, fortan, assembl, connect, sequenti, recurs, both, beginn, luck, advanc, book, miss, odd, enough, abl, realli",64,"yes","MH","simpli, math, defin, mathemat, function, valu, process, row, sequenti, one, time, top, down, variabl, replac, current, each, logic, most, except, exampl, extern, python",23,"bassman, Aswin, evert.homan, MH, system",5,6,48,1
"12891","https://forum.knime.com/t/merging-two-datasets/12891","mlauria93","2018-12-13T14:33","merg, two, dataset, ml, solv, issu, same, attribut, add, column, both, boolean, first, valu, must, true, second, fals, vice, versa, join, row, evalu, except, put, anoth, equal, obvious, much, attent",30,"no",,,0,"Aswin, mlauria93, mlauber71",3,7,84,1
"12888","https://forum.knime.com/t/knime-3-7-and-interactive-view-of-wrapped-metanodes/12888","mabm","2018-12-13T11:42","interact, view, wrap, metanod, updat, seven, show, blank, whie, page, open, one, everyth, consol, stay, empti, too, screenshot, log, file, clean, befor, start, nad, analyt, platform, anybodi, wrong",28,"no",,,0,"mabm, albrecht",2,2,43,0
"12886","https://forum.knime.com/t/ssh-connection-failed-permission-denied/12886","Christopher_Lozano","2018-12-13T10:02","ssh, connect, fail, permiss, deni, server, fill, entri, click, test, inform, log, warn, swingwork, pool, thread, testconnectiondialog, testwork, debug, jcraft, jsch, channelsftp, throwstatuserror, java, ls, base, filehandl, remot, file, sftpremotefil, getlsentri, internalexist, exist, connectioninform, doinbackgroundwithcontext, core, util, swingworkerwithcontext, doinbackground, javax, swing, call, concurr, futuretask, run, threadpoolexecutor, runwork, worker, lang, suggeest, solv, christoph",52,"no",,,0,"Christopher_Lozano",1,2,56,0
